canonical_key,match_value,display_term,enriched_description,category,potential
hk-weekend-brunch,WeekendBrunch,HK Weekend Brunch,"HK weekend brunch culture featuring free-flow champagne packages, elaborate buffet spreads, and all-day breakfast menus",fnb,low
chicken-wings,ChickenWings,雞翼,"Chicken wings (雞翼) as a ubiquitous HK food item from Swiss sauce wings to fried chicken wings and salt-and-pepper wings, beloved across all dining formats",fnb,low
xiaolongbao,xiaolongbao,小籠包,"Shanghainese soup dumplings (小籠包) with delicate wrapper and hot savory broth inside, a perennially popular HK dim sum and Shanghainese restaurant item",fnb,high
french-food,FrenchBistro,法國菜,"French cuisine, from casual bistro fare to haute cuisine, well-represented in HK's dining scene",fnb,low
salad,三文魚沙律,沙律,"Broad salad category (沙律) from HK-style fruit salad with mayo to Western green salads, an increasingly popular healthy dining option in HK",fnb,low
light-meals,輕食,輕食,"Lighter meal options (輕食) including salads, sandwiches, and small plates, a growing HK dining category driven by health-conscious consumers and cafe culture",fnb,low
pork-rice-soup,豬肉飯湯,豬肉飯湯,"Korean-style pork and rice soup (豬肉飯湯), a comforting Korean dish appearing in HK Korean specialty restaurants",fnb,high
chilean-seabass,ChileanSeabass,Chilean Seabass,"Premium white fish (Chilean Seabass/Patagonian toothfish) with buttery texture, a popular high-end restaurant fish in HK Chinese and Western dining",fnb,high
matcha,抹茶,抹茶,"Japanese powdered green tea (抹茶) used extensively in HK desserts, lattes, ice cream, and baked goods, a dominant flavor trend in HK's cafe culture",fnb,high
hk-snacks,香港零食,香港零食,"Hong Kong snack food culture (香港零食) including Calbee chips, preserved fruits, dried seafood snacks, and traditional pastries from local bakeries",fnb,low
candy,糖果,糖果,Broad confectionery category (糖果) from traditional Chinese candied fruits to Western-style hard and soft candies available across HK retail,fnb,low
chocolate,朱古力,朱古力,"Chocolate (朱古力) in HK spanning premium bean-to-bar brands, luxury hotel chocolate shops, and the viral Dubai chocolate trend",fnb,high
seaweed,紫菜,紫菜,Edible seaweed (紫菜) used in HK from Japanese nori for sushi to Korean roasted seaweed snacks and Cantonese seaweed soup,fnb,high
nuts,堅果,堅果,"Nuts and seeds (堅果) as snacks and ingredients in HK, from roasted chestnut street vendors to premium nut shops and health food stores",fnb,high
night-market,夜市,夜市,"Night market dining (夜市) featuring street food stalls and open-air eating, from Temple Street in HK to Taipei-style markets recreated in HK food events",fnb,low
grilled-fish-buffet,烤魚放題,烤魚放題,"All-you-can-eat grilled fish hotpot (烤魚放題), a popular HK dining format combining Sichuan-style charcoal-grilled fish with hotpot refills",fnb,high
chicken-pot-buffet,雞煲放題,雞煲放題,"All-you-can-eat chicken hotpot (雞煲放題), an extension of the classic HK chicken pot dining format with unlimited refills and hotpot add-ons",fnb,low
frozen-yogurt,froyo,Froyo,"Soft-serve frozen yogurt (Froyo) with customizable toppings, a recurring HK dessert trend with dedicated froyo chains and cafe offerings",fnb,low
western-food,西式美食,西餐,Broad Western cuisine category (西餐) in HK encompassing European and American food from casual diners to fine dining establishments,fnb,low
lunch-set,午市套餐,午市套餐,"Fixed-price lunch sets (午市套餐) offered by HK restaurants, typically including soup, main course, and drink at a discount compared to dinner pricing",fnb,low
breakfast,全日早餐推介,早餐,"HK breakfast culture (早餐) from cha chaan teng macaroni soup sets to congee and dim sum, a diverse morning dining tradition",fnb,low
crispy-pork-belly,脆皮燒肉,脆皮燒肉,"Cantonese roast pork with crackling skin (脆皮燒肉), a siu mei staple and one of HK's most beloved meat dishes, eaten with mustard or sugar",fnb,high
crispy-pork-belly,燒腩肉,脆皮燒肉,"Cantonese roast pork with crackling skin (脆皮燒肉), a siu mei staple and one of HK's most beloved meat dishes, eaten with mustard or sugar",fnb,high
pork-belly,五花腩,五花腩,"Fatty pork belly cut (五花腩) essential to HK cuisine, used in braised pork with preserved vegetables, siu mei, Korean BBQ, and claypot dishes",fnb,high
fresh-bird-nest,鮮燉燕窩,鮮燉燕窩,"Freshly prepared edible bird's nest (鮮燉燕窩), a luxury Cantonese health food served as a sweet soup dessert or tonic in HK premium restaurants",fnb,high
buffet,自助餐攻略,自助餐,"Self-service all-you-can-eat dining format, a dominant HK hotel and restaurant offering from breakfast to dinner",fnb,low
canele,可麗露,可麗露,"French Bordeaux pastry (可麗露) with caramelized crust and custard interior, a trending artisanal bakery item in HK's pastry scene",fnb,high
hk-kiln-chicken,香港窯雞,窯雞,"HK-style chicken roasted in a clay kiln (窯雞), a rustic cooking method producing juicy chicken with smoky flavor, trending in New Territories restaurants",fnb,high
eel-rice,鰻魚飯,鰻魚飯,"Japanese grilled eel over rice (鰻魚飯/Unadon), a premium comfort food widely available in HK Japanese restaurants from casual to high-end",fnb,high
hk-drinks,果汁,香港飲品,"Hong Kong beverage culture including milk tea (奶茶), yuenyeung (鴛鴦), lemon tea, and craft beer",fnb,low
buffet,香港自助餐,自助餐,"Self-service all-you-can-eat dining format, a dominant HK hotel and restaurant offering from breakfast to dinner",fnb,low
lemon-ramen,檸檬拉麵,檸檬拉麵,"Ramen with lemon as a featured ingredient (檸檬拉麵), a viral HK ramen trend adding fresh citrus brightness to rich broths",fnb,high
herbal-cuisine,藥膳,藥膳,"Chinese medicinal herbal cooking (藥膳) using traditional ingredients like ginseng and angelica root, available at specialty HK restaurants and soup shops",fnb,low
braised-pork-rice,滷肉飯,滷肉飯,"Taiwanese braised minced pork over rice (滷肉飯), a hugely popular comfort food in HK's Taiwanese restaurant scene",fnb,high
waffles-hk,比利時窩夫,窩夫,"Hong Kong-style waffles, including egg waffles (雞蛋仔) and griddled waffles (格仔餅)",fnb,high
tai-po-food,大埔美食,大埔美食,"Tai Po dining known for its fresh seafood restaurants, traditional walled village eateries, and the bustling Tai Po Market cooked food centre",fnb,low
tsuen-wan-west-food,荃灣西美食,荃灣西美食,"Dining in Tsuen Wan West, a newly developed waterfront area with modern mall restaurants and promenade dining near the Tsuen Wan pier",fnb,low
lemon-ramen,LemonRamen,檸檬拉麵,"Ramen with lemon as a featured ingredient (檸檬拉麵), a viral HK ramen trend adding fresh citrus brightness to rich broths",fnb,high
lemon-ramen,レモンラーメン,檸檬拉麵,"Ramen with lemon as a featured ingredient (檸檬拉麵), a viral HK ramen trend adding fresh citrus brightness to rich broths",fnb,high
kwai-chung-food,葵涌美食,葵涌美食,"Dining scene in Kwai Chung featuring industrial area canteens, Kwai Chung Plaza street food, and affordable local eateries in this Kowloon district",fnb,low
prince-edward-food,太子美食,太子美食,"Prince Edward dining known for flower market adjacent cafes, dai pai dong, traditional Cantonese restaurants, and late-night hotpot spots",fnb,low
hk-rice-noodles,米線,香港米線,"HK-style rice noodle dishes (米線), particularly Yunnan-style mixian with spicy broth and customizable toppings",fnb,high
cantonese-restaurant,charchanteng,粵式酒樓,"Traditional Cantonese banquet-style restaurant (酒樓), serving dim sum and elaborate dinner courses",fnb,low
yogurt-ice-bar,乳酪雪條,乳酪雪條,"Frozen yogurt ice pops (乳酪雪條), a HK health-oriented frozen treat trend blending yogurt with fruit and granola toppings",fnb,low
yogurt-drink,yogurtdrink,乳酪飲品,"Drinkable yogurt beverages (乳酪飲品) from Yakult to premium yogurt smoothies, a popular HK health drink category",fnb,low
dai-pai-dong,daipaidong,大排檔,"Open-air street food stalls (大排檔) serving wok-hei stir-fried dishes, a disappearing but iconic HK dining institution",fnb,high
noodles,粉麵,麵食,"Broad category of noodle dishes spanning Chinese, Japanese, and Southeast Asian styles popular in HK",fnb,high
aberdeen-food,香港仔,香港仔美食,"Aberdeen dining on HK Island's south side featuring traditional floating seafood restaurants, waterfront dining, and the Aberdeen wholesale fish market eateries",fnb,low
tomato-thick-soup,番茄湯底,蕃茄濃湯,"Rich HK-style concentrated tomato soup base (蕃茄濃湯) used in noodles, macaroni, and hotpot, a beloved local comfort food flavor",fnb,high
cake,父親節蛋糕,蛋糕,Broad cake category in HK from traditional Chinese sponge cakes to premium Western-style celebration cakes from artisanal bakeries,fnb,high
cake,鮮果忌廉蛋糕,蛋糕,Broad cake category in HK from traditional Chinese sponge cakes to premium Western-style celebration cakes from artisanal bakeries,fnb,high
cake,英倫紳士黑糖麻糬奶茶慕絲蛋糕,蛋糕,Broad cake category in HK from traditional Chinese sponge cakes to premium Western-style celebration cakes from artisanal bakeries,fnb,high
oyakodon,親子丼,親子丼,"Japanese chicken and egg rice bowl (親子丼), a comfort food classic widely available in HK Japanese casual restaurants and donburi specialty shops",fnb,high
san-po-kong-food,新蒲崗美食,新蒲崗美食,"San Po Kong dining featuring hidden industrial building restaurants, local Cantonese eateries, and an emerging creative district food scene in East Kowloon",fnb,low
japanese-sake-hk,sake,香港日本酒,"Japanese sake culture in HK including sake bars, tasting events, and sake pairing dinners, a growing segment of HK's beverage scene",fnb,low
soy-sauce,豉油,豉油,"Fundamental Cantonese condiment (豉油) used in cooking and as dipping sauce, a defining flavor of HK cuisine from siu mei to steamed fish",fnb,low
light-soy-sauce,生抽,生抽,"Thin, salty soy sauce variety (生抽) used for seasoning and dipping in HK cooking, distinct from dark soy sauce used for color and braising",fnb,low
bakery,artisanbakery,麵包店,"Bread and pastry shops in HK, ranging from traditional Chinese bakeries (餅店) to artisanal Western-style bakeries",fnb,high
shanghai-noodles,shanghainoodles,上海麵,"Thick wheat noodles in Shanghainese style (上海麵), commonly served in soup or stir-fried at HK Shanghainese restaurants",fnb,high
grilled-meat,焼肉,烤肉,"Broad grilled meat category (烤肉) spanning Korean BBQ, Japanese yakiniku, and Western-style grilling, one of HK's most popular dining formats",fnb,low
fish-and-chips,fishandchips,炸魚薯條,"British-style battered fried fish with chips (炸魚薯條), served in HK pubs, Western restaurants, and specialty fish and chip shops",fnb,low
greek-yogurt,GreekYogurt,希臘乳酪,"Thick strained yogurt (希臘乳酪) popular in HK's health food scene for its high protein content, used in breakfast bowls, smoothies, and cooking",fnb,low
korean-bbq,koreanbarbecue,韓燒,"Korean barbecue dining format where diners grill marinated meats at tabletop grills, hugely popular in HK",fnb,high
korean-bbq,kbbq,韓燒,"Korean barbecue dining format where diners grill marinated meats at tabletop grills, hugely popular in HK",fnb,high
short-ribs,shortribs,牛小排,"Beef short ribs (牛小排) prized for marbling and tenderness, a premium cut in HK Korean BBQ, steakhouses, and Western restaurants",fnb,high
tsukemen,沾麵,沾麵,"Japanese dipping ramen (沾麵) where cold noodles are dipped into concentrated hot broth, a popular HK ramen style with dedicated specialty shops",fnb,high
ho-man-tin-food,何文田美食,何文田美食,"Ho Man Tin dining scene featuring neighborhood restaurants, cafes, and eateries in this primarily residential Kowloon district near Open University",fnb,low
egg-waffle,eggwhaffles,雞蛋仔,"HK street food icon (雞蛋仔) of bubble-shaped egg waffles with crispy exterior and soft interior, a beloved snack found across the city",fnb,high
michelin-star,MichelinStar,米芝蓮星級,"Michelin star rating system for restaurants, a key marker of culinary excellence in HK's competitive dining scene",fnb,high
tuen-mun-food,屯門美食,屯門美食,"Tuen Mun dining spanning V City mall restaurants, local seafood eateries along Castle Peak Bay, and traditional New Territories Cantonese restaurants",fnb,low
ramen,日式拉麵,拉麵,"Japanese wheat noodle soup dish, one of HK's most popular dining categories with dedicated ramen shops across every district",fnb,high
pasta,pasta,意粉,"Italian-style noodles in various shapes and sauces, one of the most common Western food categories in HK from casual to fine dining",fnb,high
spinach-cheese,菠菜芝士,菠菜芝士,"Popular flavor combination of spinach and cheese (菠菜芝士) in HK Western dishes from stuffed chicken to pasta, pastries, and dips",fnb,high
butter-chicken,牛油咖哩雞,牛油咖哩雞,"Classic North Indian curry of chicken in creamy tomato-butter sauce (牛油咖哩雞), one of the most popular Indian dishes in HK restaurants",fnb,high
cauliflower-pancake,椰菜花饀餅,椰菜花饀餅,"Low-carb pancake made with cauliflower (椰菜花饀餅), a HK health food and keto-diet trend offering gluten-free alternatives to wheat pancakes",fnb,high
shanghai-fried-noodles,上海粗炒,上海粗炒,"Shanghai-style thick fried noodles (上海粗炒) with soy sauce, pork, and vegetables, a popular HK Shanghainese restaurant and cha chaan teng dish",fnb,high
tender-chicken-braised-noodles,嫩雞煨麵,嫩雞煨麵,"Shanghainese-style braised noodles with tender chicken (嫩雞煨麵), a comforting soupy noodle dish found in HK Shanghainese restaurants",fnb,high
shanghainese-cuisine,ShanghaiCuisine,上海菜,"Shanghai-region cuisine featuring xiaolongbao, braised pork belly, and pan-fried buns, well-established in HK",fnb,low
seaweed-rice-roll,飯糰,紫菜卷飯,"Korean-style seaweed rice rolls (kimbap/gimbap), popular HK street food and lunch item",fnb,high
afternoon-tea,teatime,下午茶,"British-style afternoon tea service with finger sandwiches, scones, and pastries, popular HK hotel and cafe offering",fnb,low
siu-mei,charsiu,燒味,"Cantonese roasted meats (燒味) including char siu, roast duck, and crispy pork belly, a cornerstone of HK everyday dining",fnb,high
grilled-meat,bbq,烤肉,"Broad grilled meat category (烤肉) spanning Korean BBQ, Japanese yakiniku, and Western-style grilling, one of HK's most popular dining formats",fnb,low
buffet,LunchBuffet,自助餐,"Self-service all-you-can-eat dining format, a dominant HK hotel and restaurant offering from breakfast to dinner",fnb,low
hk-buffet,AllYouCanEat,放題,"All-you-can-eat buffet dining format (放題) hugely popular in HK, ranging from Japanese to hotpot to international spreads",fnb,low
nanyang-food,NanyangFood,Nanyang Food,"Nanyang Southeast Asian cuisine blending Chinese, Malay, and Indian influences, represented in HK by Singaporean and Malaysian restaurants",fnb,low
boat-noodles,BoatNoodles,Boat Noodles,"Thai-style small bowls of intense pork or beef noodle soup (Boat Noodles), a popular HK Thai restaurant dining format where diners stack multiple bowls",fnb,high
steamed-seafood,蒸汽海鮮,蒸汽海鮮,"Cantonese-style seafood steamed at the table (蒸汽海鮮), a HK dining format preserving maximum freshness with minimal seasoning, popular in specialized restaurants",fnb,low
yakiniku-hotpot,燒肉火鍋,燒肉火鍋,"Hybrid dining format combining Japanese yakiniku grill with hotpot (燒肉火鍋), offering both grilled meat and soup in one meal at HK Japanese restaurants",fnb,low
frozen-yogurt,乳酪雪糕,Froyo,"Soft-serve frozen yogurt (Froyo) with customizable toppings, a recurring HK dessert trend with dedicated froyo chains and cafe offerings",fnb,low
ice-cream,雪糕,雪糕,"Frozen dessert category spanning soft serve, gelato, and novelty ice cream, a year-round HK treat with many local and international brands",fnb,high
sea-view-restaurant,海景餐廳,海景餐廳,"Restaurants with sea views (海景餐廳) a desirable HK dining category especially in Tsim Sha Tsui, Sai Kung, and Southern District waterfront locations",fnb,low
health-food,健康飲食,健康食品,"Broad health food category (健康食品) in HK encompassing organic produce, superfoods, supplements, and clean-eating restaurant concepts",fnb,low
fujian-cantonese-fusion,閩粵融合,閩粵融合菜,"Fusion cuisine blending Fujian and Cantonese cooking traditions (閩粵融合菜), a niche but distinctive HK restaurant concept reflecting migration heritage",fnb,high
sea-view-restaurant,維港景觀餐廳,海景餐廳,"Restaurants with sea views (海景餐廳) a desirable HK dining category especially in Tsim Sha Tsui, Sai Kung, and Southern District waterfront locations",fnb,low
kazakh-cuisine,哈薩克菜,哈薩克菜,"Central Asian Kazakh cuisine (哈薩克菜) featuring lamb, horse meat, and dairy products, a rare exotic dining option in HK's international food scene",fnb,low
steakhouse,steakhouse,Steakhouse,"Western-style steak restaurant (Steakhouse) category in HK, from luxury hotel grill rooms to mid-range chains and the nostalgic sizzling plate HK-style steak",fnb,low
korean-bbq,韓燒,韓燒,"Korean barbecue dining format where diners grill marinated meats at tabletop grills, hugely popular in HK",fnb,high
pandan-coconut-angel-cake,斑蘭蛋糕,班蘭椰子天使蛋糕,"Light and fluffy Southeast Asian-inspired cake flavored with pandan and coconut, trending in HK bakeries",fnb,high
pandan-coconut-angel-cake,斑蘭,班蘭椰子天使蛋糕,"Light and fluffy Southeast Asian-inspired cake flavored with pandan and coconut, trending in HK bakeries",fnb,high
kowloon-bay-food,九龍灣美食,九龍灣美食,"Dining in Kowloon Bay centered around Telford Plaza mall, MegaBox, and industrial building eateries in this East Kowloon commercial and residential district",fnb,low
central-food,central,中環美食,"Diverse dining in HK's Central district, from Michelin-starred restaurants and speakeasy bars to dai pai dong and cha chaan teng",fnb,low
rice-ball,riceball,Rice Ball,"Japanese onigiri rice balls (Rice Ball) with various fillings wrapped in seaweed, a popular HK convenience store and Japanese food item",fnb,high
silver-needle-noodles,銀針粉,銀針粉,"Short tapered rice noodles (銀針粉) with distinctive shape, a traditional Cantonese noodle served in soup or stir-fried at HK noodle shops",fnb,high
korean-glass-noodles,韓式粉絲,韓式粉絲,"Korean sweet potato glass noodles (韓式粉絲) used in japchae stir-fry, widely available in HK Korean restaurants and as a hotpot ingredient",fnb,high
beef-rice,韓式牛肉飯,牛肉飯,"Broad beef and rice dish category (牛肉飯) spanning HK curry beef brisket rice, Japanese gyudon, and Chinese stir-fried beef rice plates",fnb,low
korean-cheese-chicken,韓式芝士雞,韓式芝士雞,"Korean-style cheese chicken (韓式芝士雞) with melted cheese over spicy stir-fried chicken, a viral HK Korean food trend with dedicated restaurants",fnb,high
tsujiri,tsujiri,辻利茶鋪,"Japanese matcha specialty chain known for green tea desserts, soft serve, and beverages in HK",poi,medium
mango-shaved-ice,芒果冰,芒果冰,"Taiwanese-style shaved ice topped with fresh mango (芒果冰), a hugely popular HK summer dessert found in Taiwanese and Asian dessert shops",fnb,low
beef-noodle-soup,牛肉麵,牛肉麵,"Broad beef noodle soup category (牛肉麵) spanning Taiwanese braised beef noodles, Vietnamese pho, and Cantonese brisket noodles, all beloved in HK",fnb,low
donuts,donuts,冬甩,"Fried dough rings (冬甩) from American-style glazed donuts to Japanese mochi donuts and artisanal filled donuts, a growing HK dessert and cafe trend",fnb,low
dessert,dessert,甜品,"Broad dessert category covering HK-style sweets (糖水), Western pastries, and Asian confections",fnb,low
dessert,甜點,甜品,"Broad dessert category covering HK-style sweets (糖水), Western pastries, and Asian confections",fnb,low
pistachio,開心果,開心果,"Trending nut ingredient (開心果) dominating HK desserts and beverages in 2025-2026, from pistachio lattes to mochi and chocolate fillings",fnb,high
barley-tea-latte,黃金大麥茶歐蕾,大麥茶歐蕾,"Korean-inspired barley tea latte (大麥茶歐蕾), a caffeine-free alternative beverage trending in HK specialty coffee shops and cafes",fnb,high
pudding,布丁,布丁,"Broad pudding and custard dessert category (布丁) in HK from Japanese purin to mango pudding and steamed milk pudding, a versatile sweet across cuisines",fnb,low
mei-foo-food,美孚美食,美孚美食,"Mei Foo dining scene in this large Kowloon residential estate, featuring neighborhood cha chaan teng, local Cantonese restaurants, and community eateries",fnb,low
cantonese-restaurant,cantonfood,粵式酒樓,"Traditional Cantonese banquet-style restaurant (酒樓), serving dim sum and elaborate dinner courses",fnb,low
noodles,noodle,麵食,"Broad category of noodle dishes spanning Chinese, Japanese, and Southeast Asian styles popular in HK",fnb,high
xiaolongbao,Shoronpo,小籠包,"Shanghainese soup dumplings (小籠包) with delicate wrapper and hot savory broth inside, a perennially popular HK dim sum and Shanghainese restaurant item",fnb,high
wonton-noodles,WontonRamen,雲吞麵,"Quintessential HK noodle soup (雲吞麵) with shrimp wontons, springy egg noodles, and clear broth, a defining dish of Cantonese comfort food",fnb,high
ramen,拉麺,拉麵,"Japanese wheat noodle soup dish, one of HK's most popular dining categories with dedicated ramen shops across every district",fnb,high
specialty-coffee,americano,精品咖啡,"High-quality artisanal coffee culture, including pour-over, single-origin beans, and third-wave coffee shops",fnb,high
cheese,fetacheese,芝士,"Broad cheese category from processed cheese in HK-style dishes to artisanal cheeses in Western restaurants and gourmet shops, an increasingly important HK ingredient",fnb,high
cheese,halloumi,芝士,"Broad cheese category from processed cheese in HK-style dishes to artisanal cheeses in Western restaurants and gourmet shops, an increasingly important HK ingredient",fnb,high
supermarket,超級 市場,超級市場,"Large retail store selling food and household goods, relevant HK F&B distribution channel",fnb,high
fulum-fish-port,富 臨 漁港 紅磡 店,富臨漁港,HK restaurant chain specializing in seafood and Cantonese cuisine,poi,medium
beef-wellington,beef wellington,Beef Wellington,"Classic British dish of beef fillet wrapped in puff pastry, trending in HK fine dining",fnb,high
xiaomian,小麵,小麵,"Chongqing-style spicy noodle dish, gaining popularity in HK",fnb,high
noodles,拌麵,麵食,"Broad category of noodle dishes spanning Chinese, Japanese, and Southeast Asian styles popular in HK",fnb,high
noodles,湯麵,麵食,"Broad category of noodle dishes spanning Chinese, Japanese, and Southeast Asian styles popular in HK",fnb,high
grilled-octopus,烤八爪魚,烤八爪魚,"Grilled octopus, common dish in Mediterranean and HK fusion restaurants",fnb,high
chorizo,辣肉腸,辣肉腸,"Spicy sausage/chorizo, used in Spanish and fusion dishes in HK",fnb,high
omakase,廚師發辦,Omakase,"Japanese chef's choice tasting menu dining format, popular in HK high-end sushi restaurants",fnb,high
sushi-zinc,sushi zinc,Sushi Zinc,"HK omakase restaurant in Shau Kei Wan, trending on Instagram",poi,medium
meisui-zen-raku,明水然樂,明水然·樂,"HK teppanyaki chain known for seasonal set menus, trending on social media",poi,medium
burger,burger,漢堡,"Beef patty sandwich (漢堡) spanning fast food chains, gourmet burger joints, and plant-based alternatives, a major HK casual dining category",fnb,high
teishoku,日式定食,日式定食,"Japanese set meal with rice, soup, main dish, and sides",fnb,high
hand-roll,手卷,手卷,"Temaki-style hand-rolled sushi cone, common in HK Japanese restaurants",fnb,high
temaki-station,手卷駅,手卷駅,HK hand-roll sushi chain popular in Mong Kok,poi,medium
beef-tartare,和牛肉他他,牛肉他他,"Raw beef tartare dish, trending in HK fine dining and izakaya",fnb,high
cheese,帕瑪森芝士,芝士,"Broad cheese category from processed cheese in HK-style dishes to artisanal cheeses in Western restaurants and gourmet shops, an increasingly important HK ingredient",fnb,high
crispy-pork-knuckle,脆皮豬手,脆皮豬手,"German-style crispy pork knuckle, popular in HK western restaurants",fnb,high
mussels,白酒忌廉燴青口,白酒燴青口,"Mussels cooked in white wine cream sauce, common HK bistro dish",fnb,high
garlic-bread,香蒜多士,蒜蓉包,"Toasted bread topped with garlic butter, a popular side dish and starter in HK Western restaurants",fnb,low
curry-stir-fried-crab,咖哩炒蟹,咖喱炒蟹,"Whole crab wok-fried in aromatic HK-style curry sauce (咖喱炒蟹), a signature dish at typhoon shelter and seafood restaurants",fnb,high
portuguese-spicy-shrimp,葡式炒辣蝦,葡式炒辣蝦,"Portuguese-style spicy stir-fried shrimp, Macanese/HK fusion dish",fnb,high
typhoon-shelter-shrimp,避風塘炒蝦,避風塘炒蝦,"Typhoon shelter style fried shrimp with garlic and chili, iconic HK seafood dish",fnb,high
piggy-bun,豬仔包,豬仔包,"HK-style soft bread roll, commonly served with condensed milk or butter",fnb,high
abalone,鮑魚,鮑魚,"Premium seafood ingredient, central to HK fine dining and banquet cuisine",fnb,high
oysters,生蠔,生蠔,"Fresh oysters served raw or cooked, a popular HK seafood item from buffet spreads to specialty oyster bars",fnb,high
donburi,豚丼,Donburi,"Japanese rice bowl dish topped with meat, seafood, or vegetables, widely available in HK",fnb,high
tempura,天婦羅,天婦羅,"Japanese battered and deep-fried seafood and vegetables, ubiquitous in HK Japanese dining",fnb,high
siu-mei,蜜汁叉燒,燒味,"Cantonese roasted meats (燒味) including char siu, roast duck, and crispy pork belly, a cornerstone of HK everyday dining",fnb,high
candied-eel,蜜餞脆鱔,蜜餞脆鱔,"Candied crispy eel, classic Cantonese banquet appetizer",fnb,high
jellyfish-salad,海蜇頭,海蜇頭,"Marinated jellyfish appetizer, traditional Cantonese cold dish",fnb,high
mock-goose,素鵝,素鵝,"Vegetarian bean curd skin rolls, classic Chinese Buddhist cuisine dish",fnb,high
gnocchi,gnocchi,Gnocchi,"Italian potato dumplings, appearing in HK Italian restaurants",fnb,high
croquette,croquette,Croquette,"Japanese-style fried croquette (korokke), popular izakaya and street food item in HK",fnb,high
milu-thai,milu thai,MILU THAI,"HK Thai restaurant chain with multiple locations, trending on Instagram",poi,medium
deep-sea-yellowtail,深海池魚王,深海池魚王,"Premium deep-sea yellowtail (shima-aji), prized sashimi fish in HK Japanese dining",fnb,high
chawanmushi,茶碗蒸,茶碗蒸,"Japanese savory steamed egg custard, staple in HK Japanese restaurants and omakase",fnb,high
peking-duck,片皮鴨,片皮鴨,"Peking duck with crispy skin, iconic Chinese banquet dish popular in HK",fnb,high
abalone-soup-dumpling,鮑魚灌湯餃,鮑魚灌湯餃,"Premium soup dumpling with abalone, luxury dim sum item in HK",fnb,high
lei-tung-restaurant,利東酒家,利東酒家,HK restaurant chain known for dim sum and Cantonese banquet dining,poi,medium
lei-wing-hin,利榮軒,利榮軒,"HK restaurant under the Lei Tung group, known for dim sum all-you-can-eat",poi,medium
chicken-skin-skewer,雞皮,雞皮,"Grilled chicken skin skewer, popular yakitori item in HK izakaya",fnb,high
life-has-limits,人生有限杯,人生有限杯,"HK izakaya/skewer restaurant in Mong Kok, trending on Instagram",poi,medium
hanwoo,韓牛,韓牛,"Korean premium beef (Hanwoo), trending as Korean BBQ rises in HK",fnb,high
jeju-black-pork,濟州黑毛豬,濟州黑毛豬,"Jeju Island black pork, premium Korean pork trending in HK Korean BBQ",fnb,high
vietnamese-cuisine,越南菜,越南菜,"Vietnamese cuisine, growing HK food trend with pho and banh mi popularity",fnb,low
gyokai-ramen,魚介拉麵,魚介拉麵,"Japanese seafood-based ramen broth style, trending in HK ramen shops",fnb,high
kuma-ramen,熊拉麵,熊拉麵,"HK ramen shop in Sheung Wan known for gyokai broth, trending on Instagram",poi,medium
ramen,拉麵,拉麵,"Japanese wheat noodle soup dish, one of HK's most popular dining categories with dedicated ramen shops across every district",fnb,high
eel,鰻魚,鰻魚,"Freshwater eel (unagi), popular in HK Japanese cuisine as grilled unagi don",fnb,high
day-one-cafe,day one cafe,Day One Cafe,"HK cafe in Kwun Tong industrial building, trending on Instagram",poi,medium
chor-lam-kee,楚撚記大排檔,楚撚記大排檔,Trending HK dai pai dong-style restaurant chain with multiple locations,poi,medium
lasagna,千層麵,千層麵,"Italian layered pasta dish, popular in HK Italian and fusion restaurants",fnb,high
chiuchow-braised-goose,滷水鵝,滷水鵝,"Chiuchow-style braised goose in soy master stock, iconic HK delicacy",fnb,high
chiuchow-cuisine,潮州菜,潮州菜,"Chiuchow/Teochew cuisine, one of the major Chinese regional cuisines in HK",fnb,low
caprice,caprice,Caprice,"Michelin-starred French restaurant at Four Seasons HK, benchmark fine dining",poi,medium
luen-shing-banquet,聯盛宴,聯盛宴,"HK Cantonese banquet restaurant in Diamond Hill, trending on social media",poi,medium
sauce-grilled-oysters,醬燒蠔,醬燒蠔,"Oysters grilled with savory sauce, popular HK izakaya and seafood stall item",fnb,high
sashimi-rice-bowl,魚生飯,魚生飯,"Japanese rice bowl topped with assorted sashimi, popular HK lunch item",fnb,high
crab-roe,蟹膏,蟹膏,"Crab roe/miso, prized ingredient in HK seafood and Japanese cuisine",fnb,high
mochi,芒果糯米糍,麻糬,"Japanese glutinous rice cake with sweet fillings, a popular dessert and snack trend in HK",fnb,high
aged-butter-curry,熟成牛油咖哩,熟成牛油咖哩,"Aged butter curry, trending Japanese curry style in HK with deep flavor profile",fnb,high
hk-curry,咖哩,香港咖喱,"HK-style curry blending Cantonese and Southeast Asian influences, found in cha chaan teng curry beef brisket and fish ball dishes",fnb,high
roast-chicken,烤雞,烤雞,"Roasted chicken, universal dish appearing across HK western and Asian restaurants",fnb,high
dessert,手作糕點,甜品,"Broad dessert category covering HK-style sweets (糖水), Western pastries, and Asian confections",fnb,low
tim-yap-sum,甜入心,甜入心,"HK dessert shop in Wan Chai known for handmade traditional sweets, trending on Instagram",poi,medium
bake-laboratory,bake laboratory,Bake Laboratory,"HK bakery shop in Mong Kok known for viral pies, trending on Instagram",poi,medium
pork-patty-rice,肉餅飯,肉餅飯,"HK-style steamed pork patty on rice, classic comfort food trending on social media",fnb,high
egg-fried-cheong-fun,蛋炒豬腸粉,蛋炒豬腸粉,"HK street food: rice noodle rolls stir-fried with egg, trending local dish",fnb,high
